trades,pnl_rs,wins,losses,runner_trades,runner_pnl_rs,non_runner_pnl_rs,variant,day,rejects
57,12872.34,33,24,5,3165.16,9707.18,grid_o85_r110,2026-04-24,183
65,4553.43,31,34,13,6915.51,-2362.08,grid_o85_r110,2026-04-27,523
73,19836.72,43,30,18,14102.09,5734.63,grid_o85_r110,2026-04-28,383
63,18767.12,39,24,16,11290.93,7476.19,grid_o85_r110,2026-04-29,417
54,13659.08,32,22,5,9159.79,4499.29,grid_o85_r110,2026-04-30,432
62,15892.82,33,29,19,14864.15,1028.67,grid_o85_r110,2026-05-04,619
65,2694.01,29,36,12,5537.91,-2843.9,grid_o85_r110,2026-05-05,527
65,22004.01,42,23,17,15251.21,6752.8,grid_o85_r110,2026-05-06,874
61,25592.6,36,25,24,20425.25,5167.35,grid_o85_r110,2026-05-07,890
54,7873.71,35,18,10,3660.92,4212.79,grid_o85_r110,2026-05-08,655
0,0.0,0,0,0,0.0,0.0,grid_o85_r110,2026-05-11,572
0,0.0,0,0,0,0.0,0.0,grid_o85_r110,2026-05-12,302
67,16060.79,41,26,14,15216.53,844.26,grid_o85_r110,2026-05-13,297
4,920.86,4,0,1,102.62,818.24,grid_o90_r90,2026-04-17,28
14,-1911.27,5,9,2,-1289.05,-622.22,grid_o90_r90,2026-04-20,40
45,8278.47,21,24,3,4253.39,4025.08,grid_o90_r90,2026-04-21,305
43,6412.55,18,25,11,2469.39,3943.16,grid_o90_r90,2026-04-22,470
53,7978.29,27,26,17,7123.25,855.04,grid_o90_r90,2026-04-23,350
53,13762.69,32,21,5,3723.61,10039.08,grid_o90_r90,2026-04-24,188
51,3732.26,21,30,8,4747.06,-1014.8,grid_o90_r90,2026-04-27,552
53,12654.33,32,21,17,10972.12,1682.21,grid_o90_r90,2026-04-28,395
48,17523.94,27,21,11,14357.19,3166.75,grid_o90_r90,2026-04-29,426
45,14779.03,27,18,4,10169.35,4609.68,grid_o90_r90,2026-04-30,436
47,16797.68,29,18,15,15619.25,1178.43,grid_o90_r90,2026-05-04,640
49,2175.69,24,25,7,4739.56,-2563.87,grid_o90_r90,2026-05-05,539
44,16192.65,29,15,12,11069.03,5123.62,grid_o90_r90,2026-05-06,901
49,13024.43,26,23,14,9135.6,3888.83,grid_o90_r90,2026-05-07,912
42,1496.42,22,19,9,1839.68,-343.26,grid_o90_r90,2026-05-08,665
0,0.0,0,0,0,0.0,0.0,grid_o90_r90,2026-05-11,572
0,0.0,0,0,0,0.0,0.0,grid_o90_r90,2026-05-12,302
53,11086.39,28,25,9,12119.56,-1033.17,grid_o90_r90,2026-05-13,318
4,1205.85,4,0,1,102.62,1103.23,grid_o90_r95,2026-04-17,28
14,-1911.27,5,9,2,-1289.05,-622.22,grid_o90_r95,2026-04-20,40
49,8990.94,24,25,3,4391.58,4599.36,grid_o90_r95,2026-04-21,306
45,6136.84,21,24,11,2923.22,3213.62,grid_o90_r95,2026-04-22,471
55,8498.99,29,26,18,6775.57,1723.42,grid_o90_r95,2026-04-23,350
53,15817.88,34,19,5,4155.88,11662.0,grid_o90_r95,2026-04-24,187
53,4774.62,23,30,9,6771.39,-1996.77,grid_o90_r95,2026-04-27,551
53,12949.83,32,21,17,11267.62,1682.21,grid_o90_r95,2026-04-28,397
51,19356.91,30,21,12,14465.96,4890.95,grid_o90_r95,2026-04-29,426
46,15193.53,27,19,4,10169.35,5024.18,grid_o90_r95,2026-04-30,436
51,16166.72,30,21,16,15483.35,683.37,grid_o90_r95,2026-05-04,641
50,5709.47,26,24,8,2439.73,3269.74,grid_o90_r95,2026-05-05,538
47,17756.58,29,18,13,12641.65,5114.93,grid_o90_r95,2026-05-06,902
50,12962.9,25,25,14,9400.06,3562.84,grid_o90_r95,2026-05-07,912
45,1733.87,23,21,9,1839.68,-105.81,grid_o90_r95,2026-05-08,665
0,0.0,0,0,0,0.0,0.0,grid_o90_r95,2026-05-11,572
0,0.0,0,0,0,0.0,0.0,grid_o90_r95,2026-05-12,302
58,14371.72,34,24,10,13230.07,1141.65,grid_o90_r95,2026-05-13,320
4,1205.85,4,0,1,102.62,1103.23,grid_o90_r100,2026-04-17,28
14,-3040.43,5,9,2,-1289.05,-1751.38,grid_o90_r100,2026-04-20,42
53,9001.26,28,25,5,2629.57,6371.69,grid_o90_r100,2026-04-21,306
50,8469.41,27,23,13,5219.69,3249.72,grid_o90_r100,2026-04-22,472
55,5855.77,28,27,16,7264.81,-1409.04,grid_o90_r100,2026-04-23,354
56,13722.82,34,22,5,3653.95,10068.87,grid_o90_r100,2026-04-24,187
57,5512.35,27,30,10,6870.99,-1358.64,grid_o90_r100,2026-04-27,551
59,18886.23,39,20,14,14066.64,4819.59,grid_o90_r100,2026-04-28,399
60,15784.45,34,26,17,12032.08,3752.37,grid_o90_r100,2026-04-29,427
52,14680.75,31,21,5,9649.34,5031.41,grid_o90_r100,2026-04-30,437
56,15648.77,33,23,18,14801.86,846.91,grid_o90_r100,2026-05-04,642
55,5663.89,26,29,9,3698.53,1965.36,grid_o90_r100,2026-05-05,538
55,18847.75,35,20,14,12976.9,5870.85,grid_o90_r100,2026-05-06,901
54,19295.85,31,23,18,16468.97,2826.88,grid_o90_r100,2026-05-07,912
46,2135.46,24,21,9,1839.68,295.78,grid_o90_r100,2026-05-08,665
0,0.0,0,0,0,0.0,0.0,grid_o90_r100,2026-05-11,572
0,0.0,0,0,0,0.0,0.0,grid_o90_r100,2026-05-12,302
60,13718.69,36,24,10,13230.07,488.62,grid_o90_r100,2026-05-13,320
4,1348.19,4,0,1,244.96,1103.23,grid_o90_r110,2026-04-17,28
14,-3040.43,5,9,2,-1289.05,-1751.38,grid_o90_r110,2026-04-20,42
55,7899.54,27,28,5,2629.57,5269.97,grid_o90_r110,2026-04-21,306
62,9023.51,31,30,15,5347.93,3675.58,grid_o90_r110,2026-04-22,475
63,2755.48,29,34,16,3828.41,-1072.93,grid_o90_r110,2026-04-23,357
56,13722.82,34,22,5,3653.95,10068.87,grid_o90_r110,2026-04-24,187
63,5874.84,32,31,11,7689.34,-1814.5,grid_o90_r110,2026-04-27,551
69,14921.03,39,30,16,12227.77,2693.26,grid_o90_r110,2026-04-28,399
62,17258.48,38,24,18,10750.52,6507.96,grid_o90_r110,2026-04-29,427
53,14364.59,32,21,5,9159.79,5204.8,grid_o90_r110,2026-04-30,437
60,12373.32,30,30,18,14548.28,-2174.96,grid_o90_r110,2026-05-04,642
63,5090.96,29,34,10,6366.29,-1275.33,grid_o90_r110,2026-05-05,540
60,18092.21,39,21,16,12862.16,5230.05,grid_o90_r110,2026-05-06,900
61,21753.57,37,24,18,16797.82,4955.75,grid_o90_r110,2026-05-07,911
50,1725.17,29,20,9,1739.47,-14.3,grid_o90_r110,2026-05-08,666
0,0.0,0,0,0,0.0,0.0,grid_o90_r110,2026-05-11,572
0,0.0,0,0,0,0.0,0.0,grid_o90_r110,2026-05-12,302
63,18056.01,41,22,12,15855.78,2200.23,grid_o90_r110,2026-05-13,314
